"last_name, first_name","player_id","year","player_age","p_formatted_ip","pa","ab","hit","strikeout","walk","k_percent","bb_percent","batting_avg","babip","p_pickoff_attempt_1b","p_pickoff_1b","p_gnd_into_dp","p_hit_by_pitch","xba","xbadiff"
"Suárez, Ranger","624133","2023","27","125.0","540","483","129","119","48",22,8.9,".267",".327","28","0","16","2",".262",".005"
"Maeda, Kenta","628317","2023","35","104.1","428","394","94","117","28",27.3,6.5,".239",".293","19","0","10","3",".231",".008"
"Urías, Julio","628711","2023","26","117.1","482","444","112","117","24",24.3,5,".252",".285","25","3","11","6",".247",".005"
"Manaea, Sean","640455","2023","31","117.2","499","444","104","128","42",25.7,8.4,".234",".293","15","0","12","8",".244","-0.010"
"López, Pablo","641154","2023","27","194.0","801","738","176","234","48",29.2,6,".238",".314","28","2","12","9",".216",".022"
"Dunning, Dane","641540","2023","28","172.2","722","652","163","140","55",19.4,7.6,".250",".288","22","0","20","10",".261","-0.011"
"France, J.P.","641585","2023","28","136.1","581","524","138","101","47",17.4,8.1,".263",".290","17","1","17","2",".267","-0.004"
"Ober, Bailey","641927","2023","27","144.1","577","539","125","146","29",25.3,5,".232",".276","39","0","11","7",".226",".006"
"Peralta, Freddy","642547","2023","27","165.2","680","617","131","210","54",30.9,7.9,".212",".275","26","0","9","6",".214","-0.002"
"Alcantara, Sandy","645261","2023","27","184.2","762","700","176","151","48",19.8,6.3,".251",".289","40","2","21","5",".265","-0.014"
"King, Michael","650633","2023","28","104.2","431","390","88","127","32",29.5,7.4,".226",".307","21","3","10","5",".227","-0.001"
"Civale, Aaron","650644","2023","28","122.1","504","463","109","116","33",23,6.5,".235",".289","14","0","11","5",".243","-0.008"
"Canning, Griffin","656288","2023","27","127.0","536","493","121","139","36",25.9,6.7,".245",".297","38","2","6","5",".236",".009"
"Cease, Dylan","656302","2023","27","177.0","784","689","172","214","79",27.3,10.1,".250",".331","44","2","6","9",".241",".009"
"Flaherty, Jack","656427","2023","27","144.1","650","565","162","148","66",22.8,10.2,".287",".357","31","0","22","12",".270",".017"
"Houck, Tanner","656557","2023","27","106.0","463","410","104","99","41",21.4,8.9,".254",".299","4","0","8","6",".245",".009"
"Keller, Mitch","656605","2023","27","194.1","825","752","187","210","55",25.5,6.7,".249",".310","26","0","16","12",".251","-0.002"
"Kopech, Michael","656629","2023","27","129.1","591","483","115","134","91",22.7,15.4,".238",".265","37","0","14","11",".240","-0.002"
"Megill, Tylor","656731","2023","27","126.1","567","500","141","105","58",18.5,10.2,".282",".325","38","2","19","6",".283","-0.001"
"Montgomery, Jordan","656756","2023","30","188.2","777","718","177","166","48",21.4,6.2,".247",".295","16","1","20","4",".253","-0.006"
"Peterson, David","656849","2023","27","111.0","492","432","124","128","50",26,10.2,".287",".371","52","7","14","6",".263",".024"
"Steele, Justin","657006","2023","27","173.1","716","666","167","176","36",24.6,5,".251",".320","11","1","19","7",".250",".001"
"Webb, Logan","657277","2023","26","216.0","850","811","201","194","31",22.8,3.6,".248",".303","30","0","32","5",".255","-0.007"
"Schmidt, Clarke","657376","2023","27","159.0","694","630","169","149","46",21.5,6.6,".268",".313","32","0","14","11",".256",".012"
"Ryan, Joe","657746","2023","27","161.2","672","626","155","197","34",29.3,5.1,".248",".305","29","0","8","6",".224",".024"
"Seabold, Connor","657756","2023","27","87.1","408","366","116","67","28",16.4,6.9,".317",".340","11","0","5","7",".273",".044"
"Ohtani, Shohei","660271","2023","28","132.0","531","463","85","167","55",31.5,10.4,".184",".240","4","0","18","11",".206","-0.022"
"McClanahan, Shane","663556","2023","26","115.0","469","428","95","121","41",25.8,8.7,".222",".274","7","0","11","0",".242","-0.020"
"Irvin, Jake","663623","2023","26","121.0","530","462","118","99","54",18.7,10.2,".255",".281","27","0","15","8",".258","-0.003"
"Sandoval, Patrick","663776","2023","26","144.2","652","567","145","128","74",19.6,11.3,".256",".309","31","2","14","4",".260","-0.004"
"Singer, Brady","663903","2023","26","159.2","702","634","182","133","49",18.9,7,".287",".330","24","0","15","8",".276",".011"
"Gonsolin, Tony","664062","2023","29","103.0","435","381","86","82","40",18.9,9.2,".226",".235","15","0","8","7",".275","-0.049"
"Valdez, Framber","664285","2023","29","198.0","808","728","166","200","57",24.8,7.1,".228",".284","32","1","24","10",".252","-0.024"
"Javier, Cristian","664299","2023","26","162.0","687","611","143","159","62",23.1,9,".234",".273","49","3","9","7",".230",".004"
"Kremer, Dean","665152","2023","27","172.2","735","673","171","157","55",21.4,7.5,".254",".293","44","1","13","5",".270","-0.016"
"Medina, Luis","665622","2023","24","109.2","495","427","109","106","57",21.4,11.5,".255",".306","14","0","9","8",".252",".003"
"Cabrera, Edward","665795","2023","25","99.2","434","363","78","118","66",27.2,15.2,".215",".285","34","1","11","4",".199",".016"
"Assad, Javier","665871","2023","25","109.1","449","402","93","94","41",20.9,9.1,".231",".269","13","2","14","3",".259","-0.028"
"Garrett, Braxton","666129","2023","25","159.2","659","617","154","156","29",23.7,4.4,".250",".302","27","0","13","11",".274","-0.024"
"Luzardo, Jesús","666200","2023","25","178.2","741","677","162","208","55",28.1,7.4,".239",".312","34","2","19","6",".235",".004"
"Manoah, Alek","666201","2023","25","87.1","415","346","93","79","59",19,14.2,".269",".308","33","1","8","9",".266",".003"
"Wentz, Joey","666214","2023","25","105.2","492","444","131","98","47",19.9,9.6,".295",".329","9","0","5","0",".276",".019"
"Gallen, Zac","668678","2023","27","210.0","846","790","188","220","47",26,5.6,".238",".301","97","0","22","5",".254","-0.016"
"Greene, Hunter","668881","2023","23","112.0","498","438","111","152","48",30.5,9.6,".253",".342","47","0","5","8",".216",".037"
"Ashcraft, Graham","668933","2023","25","145.2","624","558","148","111","52",17.8,8.3,".265",".293","38","0","24","10",".272","-0.007"
"Gore, MacKenzie","669022","2023","24","136.1","582","519","134","151","57",25.9,9.8,".258",".310","46","3","17","1",".261","-0.003"
"Nelson, Ryne","669194","2023","25","144.0","619","559","159","96","46",15.5,7.4,".284",".301","17","0","17","1",".269",".015"
"Burnes, Corbin","669203","2023","28","193.2","784","704","141","200","66",25.5,8.4,".200",".244","91","1","12","8",".224","-0.024"
"Gilbert, Logan","669302","2023","26","190.2","770","724","169","189","36",24.5,4.7,".233",".274","15","0","11","2",".243","-0.010"
"Wells, Tyler","669330","2023","28","118.2","470","429","83","117","34",24.9,7.2,".193",".200","27","2","8","4",".217","-0.024"
"Bieber, Shane","669456","2023","28","128.0","533","490","124","107","34",20.1,6.4,".253",".295","29","1","15","3",".284","-0.031"
"Kirby, George","669923","2023","25","190.2","757","727","179","172","19",22.7,2.5,".246",".293","20","0","18","6",".262","-0.016"
"Oviedo, Johan","670912","2023","25","177.2","781","678","161","158","83",20.2,10.6,".237",".281","18","0","15","13",".249","-0.012"
"Abbott, Andrew","671096","2023","24","109.1","459","409","100","120","44",26.1,9.6,".244",".302","57","2","7","1",".227",".017"
"Allen, Logan","671106","2023","24","125.1","537","483","127","119","48",22.2,8.9,".263",".317","16","0","14","1",".257",".006"
"Bradley, Taj","671737","2023","22","104.2","460","416","106","129","39",28,8.5,".255",".310","0","0","3","1",".244",".011"
"Detmers, Reid","672282","2023","23","148.2","644","569","141","168","60",26.1,9.3,".248",".318","37","1","14","13",".253","-0.005"
"Senga, Kodai","673540","2023","30","166.1","694","606","126","202","77",29.1,11.1,".208",".279","27","0","16","5",".225","-0.017"
"Curry, Xzavion","675540","2023","24","95.0","404","367","98","67","30",16.6,7.4,".267",".295","24","1","8","2",".274","-0.007"
"Strider, Spencer","675911","2023","24","186.2","763","696","146","281","58",36.8,7.6,".210",".316","24","0","8","9",".205",".005"
"Miller, Bobby","676272","2023","24","124.1","505","464","105","119","32",23.6,6.3,".226",".277","16","0","9","6",".229","-0.003"
"Bibee, Tanner","676440","2023","24","142.0","585","530","122","141","45",24.1,7.7,".230",".287","49","3","7","5",".235","-0.005"
"Sears, JP","676664","2023","27","172.1","735","662","165","161","53",21.9,7.2,".249",".279","66","3","14","16",".245",".004"
"Crawford, Kutter","676710","2023","27","129.1","527","484","107","135","36",25.6,6.8,".221",".269","2","0","11","5",".208",".013"
"Bello, Brayan","678394","2023","24","157.0","668","611","165","132","45",19.8,6.7,".270",".307","15","1","23","6",".253",".017"
"Rodriguez, Grayson","680570","2023","23","122.0","515","467","121","129","42",25,8.2,".259",".323","42","1","17","2",".255",".004"
"Gray, Josiah","680686","2023","25","159.0","698","605","152","143","80",20.5,11.5,".251",".293","38","1","15","9",".254","-0.003"
"Bradish, Kyle","680694","2023","26","168.2","671","615","132","168","44",25,6.6,".215",".271","33","0","21","8",".239","-0.024"
"Olson, Reese","681857","2023","23","103.2","422","386","83","103","33",24.4,7.8,".215",".255","7","0","9","1",".254","-0.039"
"Williamson, Brandon","682227","2023","25","117.0","491","447","111","98","39",20,7.9,".248",".280","40","0","14","2",".262","-0.014"
"Miller, Bryce","682243","2023","24","131.1","537","501","124","119","26",22.2,4.8,".248",".290","19","1","9","7",".270","-0.022"
"Ortiz, Luis","682847","2023","24","86.2","400","344","99","59","48",14.8,12,".288",".309","8","0","12","2",".302","-0.014"
"Waldichuk, Ken","686610","2023","25","141.0","639","550","149","132","71",20.7,11.1,".271",".313","46","3","13","9",".242",".029"
"Brown, Hunter","686613","2023","24","155.2","665","599","157","178","55",26.8,8.3,".262",".330","33","0","19","9",".240",".022"
"Elder, Bryce","693821","2023","24","174.2","732","654","160","128","63",17.5,8.6,".245",".275","31","0","28","8",".263","-0.018"
"Pfaadt, Brandon","694297","2023","24","96.0","421","386","109","94","26",22.3,6.2,".282",".316","33","0","7","3",".253",".029"
