"last_name, first_name","player_id","year","player_age","p_formatted_ip","pa","ab","hit","strikeout","walk","k_percent","bb_percent","batting_avg","babip","p_pickoff_attempt_1b","p_pickoff_1b","p_gnd_into_dp","p_hit_by_pitch","xba","xbadiff"
"Bassitt, Chris","605135","2022","33","181.2","745","680","159","167","49",22.4,6.6,".234",".282","42","0","24","13",".227",".007"
"Bundy, Dylan","605164","2022","29","140.0","595","558","151","94","28",15.8,4.7,".271",".285","80","0","6","3",".263",".008"
"Clevinger, Mike","605182","2022","31","114.1","485","437","102","91","35",18.8,7.2,".233",".250","60","0","5","10",".247","-0.014"
"Davies, Zach","605200","2022","29","134.1","570","507","122","102","52",17.9,9.1,".241",".258","90","2","11","2",".250","-0.009"
"Houser, Adrian","605288","2022","29","102.2","454","400","103","69","46",15.2,10.1,".258",".289","47","0","9","2",".272","-0.014"
"Musgrove, Joe","605397","2022","29","181.0","740","679","154","184","42",24.9,5.7,".227",".277","80","0","14","14",".224",".003"
"Nola, Aaron","605400","2022","29","205.0","807","766","168","235","29",29.1,3.6,".219",".291","131","0","10","9",".211",".008"
"Snell, Blake","605483","2022","29","128.0","535","476","103","171","51",32,9.5,".216",".308","43","2","7","2",".207",".009"
"Springs, Jeffrey","605488","2022","29","135.1","549","513","114","144","31",26.2,5.6,".222",".280","65","3","10","1",".231","-0.009"
"Thompson, Zach","605507","2022","28","121.2","543","493","138","90","46",16.6,8.5,".280",".309","28","0","15","3",".281","-0.001"
"Woodruff, Brandon","605540","2022","29","153.1","620","568","122","190","42",30.6,6.8,".215",".287","44","0","9","5",".212",".003"
"Rodón, Carlos","607074","2022","29","178.0","710","649","131","237","52",33.4,7.3,".202",".295","33","2","10","3",".198",".004"
"Fedde, Erick","607200","2022","29","127.0","573","508","149","94","58",16.4,10.1,".293",".321","35","0","14","0",".283",".010"
"Martinez, Nick","607259","2022","31","106.1","448","402","96","95","41",21.2,9.2,".239",".276","43","0","14","4",".233",".006"
"Freeland, Kyle","607536","2022","29","174.2","766","687","193","131","53",17.1,6.9,".281",".319","89","1","22","16",".271",".010"
"Fried, Max","608331","2022","28","185.1","733","692","156","170","32",23.2,4.4,".225",".280","40","3","16","4",".227","-0.002"
"Giolito, Lucas","608337","2022","27","161.2","698","628","171","177","61",25.4,8.7,".272",".340","49","0","23","4",".249",".023"
"Irvin, Cole","608344","2022","28","181.0","741","693","174","128","36",17.3,4.9,".251",".274","43","1","19","7",".258","-0.007"
"Wacha, Michael","608379","2022","30","127.1","515","476","111","104","31",20.2,6,".233",".260","23","0","16","4",".254","-0.021"
"Márquez, Germán","608566","2022","27","181.2","779","704","185","150","63",19.3,8.1,".263",".292","70","2","21","4",".256",".007"
"Voth, Austin","608723","2022","30","101.2","442","403","111","90","31",20.4,7,".275",".320","34","0","7","3",".256",".019"
"Quantrill, Cal","615698","2022","27","186.1","770","702","178","128","47",16.6,6.1,".254",".280","38","1","18","10",".258","-0.004"
"Kaprielian, James","621076","2022","28","134.0","577","507","121","98","59",17,10.2,".239",".264","68","0","11","5",".254","-0.015"
"Blackburn, Paul","621112","2022","28","111.1","467","431","110","89","30",19.1,6.4,".255",".291","57","0","11","5",".259","-0.004"
"Berríos, José","621244","2022","28","172.0","753","692","199","149","45",19.8,6,".288",".329","60","2","14","11",".275",".013"
"Hearn, Taylor","621368","2022","27","100.0","449","400","107","97","43",21.6,9.6,".268",".327","38","1","3","3",".265",".003"
"Wood, Alex","622072","2022","31","130.2","555","504","132","131","30",23.6,5.4,".262",".317","0","0","12","12",".247",".015"
